id,contact_id,location_id,organization_id,service_id,number,extension,department,number_type,vanity_number,country_prefix
1,,1,,,270-384-1198,,,voice,,1
2,,2,,,859-525-1487,,,voice,,
3,,3,,,859-292-5486,,,voice,,
4,,4,,,859-987-6810,,,voice,,
5,,5,,,606-393-5926,,,voice,,
6,,6,,,2706890073,,,voice,,
7,,7,,,270-685-0260,,,voice,,
8,,8,,,270-689-0905,,,voice,,
9,,9,,,859-425-1210,,,voice,,
10,,10,,,800.713.0954,,,voice,,
11,,11,,,859-252-7881,,,voice,,
12,,12,,,859-252-2002,,,voice,,
13,,13,,,859-252-7881,,,voice,,
14,,14,,,859 278-4673,,,voice,,
15,,15,,,859-246-7282,,,voice,,
16,,16,,,859-252-1939,,,voice,,
17,,17,,,859-269-2325,,,voice,,
18,,18,,,(859) 278-4775,,,voice,,
19,,19,,,859-254-0149,,,voice,,
20,,20,,,(606) 638-0938,,,voice,,
21,,21,,,502-352-2111,,,voice,,
22,,22,,,859-567-5507,,,voice,,
23,,23,,,2709276003,,,voice,,
24,,24,,,270-737-8529,,,voice,,
25,,25,,,270-737-6449,,,voice,,
26,,26,,,606-837-0100,,,voice,,
27,,27,,,859-234-0026,,,voice,,
28,,28,,,270-826-0036,,,voice,,
29,,29,,,502-935-3700,,,voice,,
30,,30,,,502-714-3924,,,voice,,
31,,31,,,502-933-4504,,,voice,,
32,,32,,,502 454 6350,,,voice,,
33,,33,,,502-894-0234,,,voice,,
34,,34,,,(502) 896-8006,,,voice,,
35,,35,,,502-773-3406,,,voice,,
36,,36,,,5024266380,,,voice,,
37,,37,,,502 568 6680,,,voice,,
38,,38,,,(502) 574-6414,,,voice,,
39,,39,,,502-636-0742,,,voice,,
40,,40,,,859-213-2283,,,voice,,
41,,41,,,858.455.6134,,,voice,,
42,,42,,,606-789-4779,,,voice,,
43,,43,,,859-581-8974,,,voice,,
44,,44,,,859-491-2090,,,voice,,
45,,45,,,(606)-526-9552,,,voice,,
46,,46,,,800-545-9031,,,voice,,
47,,47,,,8593380466,,,voice,,
48,,48,,,859-779-4440,,,voice,,
49,,49,,,606-584-7055,,,voice,,
50,,50,,,270-247-4212,,,voice,,
51,,51,,,859-498-7111,,,voice,,
52,,52,,,270-338-2280,,,voice,,
53,,53,,,606-487-1646,,,voice,,
54,,54,,,606-886-8572,,,voice,,
55,,55,,,606-886-9989,,,voice,,
56,,56,,,6067547077,,,voice,,
57,,57,,,606-564-4016,,,voice,,
58,,58,,,606-548-1502,,,voice,,
59,,59,,,270-866-3535,,,voice,,
60,,60,,,(888)982-1244,,,voice,,
61,,61,,,502 254-9555,,,voice,,
62,,62,,,270/843-9130,,,voice,,
63,,63,,,270-796-1764,,,voice,,
64,,64,,,(270) 901-5000,,,voice,,
65,,65,,,270-901-5000,Ext 1146; 1268,,voice,,
66,,66,,,270-781-3387,,,voice,,
67,,67,,,859-209-2330,,,voice,,
68,,68,,,606-679-4782,,,voice,,
69,,69,,,800-928-8000,,,voice,,