id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,how_to_apply,interpretation_services,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
1,1,,,,N/A,,,,,N/A,,,,Pollard Counseling Services,,,active,,,"101,101-01"
2,2,,,,N/A,,,,,N/A,,,,,,,,,,
3,3,,,,N/A,,,,,N/A,,,,,,,,,,
4,4,,,,N/A,,,,,N/A,,,,,,,,,,
5,5,,,,N/A,,,,,N/A,,,,,,,,,,
6,6,,,,N/A,,,,,N/A,,,,,,,,,,
7,7,,,,N/A,,,,,N/A,,,,,,,,,,
8,8,,,,N/A,,,,,N/A,,,,,,,,,,
9,9,,,,N/A,,,,,N/A,,,,,,,,,,
10,10,,,,N/A,,,,,N/A,,,,,,,,,,
11,11,,,,N/A,,,,,N/A,,,,,,,,,,
12,12,,,,N/A,,,,,N/A,,,,,,,,,,
13,13,,,,N/A,,,,,N/A,,,,,,,,,,
14,14,,,,N/A,,,,,N/A,,,,,,,,,,
15,15,,,,N/A,,,,,N/A,,,,,,,,,,
16,16,,,,N/A,,,,,N/A,,,,,,,,,,
17,17,,,,N/A,,,,,N/A,,,,,,,,,,
18,18,,,,N/A,,,,,N/A,,,,,,,,,,
19,19,,,,N/A,,,,,N/A,,,,,,,,,,
20,20,,,,N/A,,,,,N/A,,,,,,,,,,
21,21,,,,N/A,,,,,N/A,,,,,,,,,,
22,22,,,,N/A,,,,,N/A,,,,,,,,,,
23,23,,,,N/A,,,,,N/A,,,,,,,,,,
24,24,,,,N/A,,,,,N/A,,,,,,,,,,
25,25,,,,N/A,,,,,N/A,,,,,,,,,,
26,26,,,,N/A,,,,,N/A,,,,,,,,,,
27,27,,,,N/A,,,,,N/A,,,,,,,,,,
28,28,,,,N/A,,,,,N/A,,,,,,,,,,
29,29,,,,N/A,,,,,N/A,,,,,,,,,,
30,30,,,,N/A,,,,,N/A,,,,,,,,,,
31,31,,,,N/A,,,,,N/A,,,,,,,,,,
32,32,,,,N/A,,,,,N/A,,,,,,,,,,
33,33,,,,N/A,,,,,N/A,,,,,,,,,,
34,34,,,,N/A,,,,,N/A,,,,,,,,,,
35,35,,,,N/A,,,,,N/A,,,,,,,,,,
36,36,,,,N/A,,,,,N/A,,,,,,,,,,
37,37,,,,N/A,,,,,N/A,,,,,,,,,,
38,38,,,,N/A,,,,,N/A,,,,,,,,,,
39,39,,,,N/A,,,,,N/A,,,,,,,,,,
40,40,,,,N/A,,,,,N/A,,,,,,,,,,
41,41,,,,N/A,,,,,N/A,,,,,,,,,,
42,42,,,,N/A,,,,,N/A,,,,,,,,,,
43,43,,,,N/A,,,,,N/A,,,,,,,,,,
44,44,,,,N/A,,,,,N/A,,,,,,,,,,
45,45,,,,N/A,,,,,N/A,,,,,,,,,,
46,46,,,,N/A,,,,,N/A,,,,,,,,,,
47,47,,,,N/A,,,,,N/A,,,,,,,,,,
48,48,,,,N/A,,,,,N/A,,,,,,,,,,
49,49,,,,N/A,,,,,N/A,,,,,,,,,,
50,50,,,,N/A,,,,,N/A,,,,,,,,,,
51,51,,,,N/A,,,,,N/A,,,,,,,,,,
52,52,,,,N/A,,,,,N/A,,,,,,,,,,
53,53,,,,N/A,,,,,N/A,,,,,,,,,,
54,54,,,,N/A,,,,,N/A,,,,,,,,,,
55,55,,,,N/A,,,,,N/A,,,,,,,,,,
56,56,,,,N/A,,,,,N/A,,,,,,,,,,
57,57,,,,N/A,,,,,N/A,,,,,,,,,,
58,58,,,,N/A,,,,,N/A,,,,,,,,,,
59,59,,,,N/A,,,,,N/A,,,,,,,,,,
60,60,,,,N/A,,,,,N/A,,,,,,,,,,
61,61,,,,N/A,,,,,N/A,,,,,,,,,,
62,62,,,,N/A,,,,,N/A,,,,,,,,,,
63,63,,,,N/A,,,,,N/A,,,,,,,,,,
64,64,,,,N/A,,,,,N/A,,,,,,,,,,
65,65,,,,N/A,,,,,N/A,,,,,,,,,,
66,66,,,,N/A,,,,,N/A,,,,,,,,,,
67,67,,,,N/A,,,,,N/A,,,,,,,,,,
68,68,,,,N/A,,,,,N/A,,,,,,,,,,
69,69,,,,N/A,,,,,N/A,,,,,,,,,,